postalsector,3am,6am,9am,12pm,3pm,6pm,9pm,12am
0,660,440,2107,3605,3512,3565,3938,2629
1,49199,21341,46923,104575,102076,100356,155818,121053
2,2,,9,11,4,5,7,4
3,22661,12791,40009,73502,76493,68120,102940,64894
4,36346,5137,31862,113197,114930,84327,158039,124633
5,54584,16162,53889,76466,86855,58353,89494,75386
6,12861,2410,22473,64080,61291,43072,67213,58061
7,5779,3508,30498,34441,33576,25657,31360,19919
8,37347,11306,71150,49718,47747,30765,48439,55219
9,30450,33985,109486,107034,122794,98606,102744,66991
10,1906,6184,48296,32563,23278,14914,13144,6555
11,8419,7743,55605,91802,85923,74707,72936,38669
12,12386,28261,124962,89356,83840,62790,70912,37544
13,4701,6431,56596,62136,65718,54976,55883,26661
14,4474,13128,65468,54199,45781,28620,26314,13706
15,8141,14368,90790,97680,90977,58310,51388,28353
16,27469,29477,165751,156192,133355,90131,83005,52832
17,62159,10563,40296,62905,75057,56604,76764,70501
18,82258,16545,74315,114697,134600,105399,126448,111216
19,57451,21970,42865,50690,58105,44475,53442,50607
20,63006,16722,55905,69067,70903,45534,59505,69144
21,23319,10080,42664,58155,58859,36525,51664,38401
22,59445,34068,104964,131317,134436,109374,118492,96723
23,84742,58752,183382,222398,253851,199770,223549,168831
24,13202,21321,79503,94227,88141,57798,51988,32845
25,8864,13821,65645,84129,71766,48922,36267,20066
26,1630,7478,25941,31969,25928,19184,12524,6693
27,7982,14623,62748,55314,49630,35213,36032,29292
28,1636,4961,15138,22695,23240,20899,15640,8416
29,3249,4061,15392,23351,22044,20328,16803,14587
30,8893,12200,72498,87275,87375,62490,58019,24409
31,14155,26038,95847,94501,89586,72266,70405,45147
32,26757,30142,114236,99191,83727,61922,67351,52060
33,11738,10158,36789,45392,44838,35491,36647,23380
34,2583,2850,15317,23262,22949,22571,20442,9313
35,2065,6078,20386,17244,13725,12699,9743,5910
36,2941,2749,15439,13634,15980,13288,12612,8262
37,3814,7445,24380,14491,12881,9086,10855,7772
38,88858,34910,78962,80644,78535,58874,83589,96944
39,15841,12518,44807,38651,34898,29691,35107,32633
40,9227,9695,64377,82276,91496,75156,72319,37442
41,8179,12093,41762,43066,44717,40039,36848,24371
42,12624,13767,44875,58065,56600,45862,48554,43683
43,6582,18025,89200,71605,60525,53367,41830,21920
44,5723,9888,43917,48799,53721,46916,49638,17909
45,3739,6924,25778,22328,19676,18457,13968,10227
46,26681,50788,204822,150955,149415,125056,123226,79268
47,5743,17354,59538,34958,33157,25636,23908,15286
48,7764,8052,46291,53289,59420,87798,92818,50144
49,3260,5930,6362,14204,15097,23366,25012,9473
50,8188,10049,47476,36925,32355,36567,28894,15346
51,13139,37057,154318,84181,82758,71809,64072,39253
52,31141,82210,349084,229933,239004,206490,208598,106678
53,35131,58109,164334,140772,153173,154514,145408,94521
54,16160,44965,98055,77270,83969,79261,71619,43629
55,15124,24154,79544,72822,78454,78157,78886,52486
56,27935,44657,145481,142550,144207,139253,139898,86194
57,17240,27714,95073,112410,114509,91012,82326,47012
58,2419,5282,19049,24214,23789,20358,16327,7696
59,4676,10327,32684,35015,30099,27113,22690,13187
60,15606,26632,125424,101583,115328,109049,130789,61251
61,14001,11602,44462,25501,25690,27315,30402,16091
62,9824,9299,61763,46765,47533,56285,57013,23719
63,2578,3111,18346,27410,29888,37927,36031,13523
64,24759,64107,245114,111599,110431,94680,109623,68448
65,12846,28274,84424,68836,71254,64882,60254,34650
66,893,3995,8989,9139,7977,11364,6819,3559
67,11393,31114,50917,50853,56525,52093,50850,29834
68,15560,38850,94978,62794,66407,67395,64469,38102
69,590,386,881,1828,1639,2761,1315,1543
70,88,91,262,397,313,469,268,822
71,20,83,408,777,838,1123,462,191
72,836,953,2987,8261,14563,19665,17348,9786
73,26675,68099,188248,120338,136540,150744,149867,87865
75,10250,18610,52761,34641,42545,56680,50451,25957
76,27469,51936,130547,104012,117625,123443,125173,77671
77,415,501,1552,2782,2376,3720,1660,988
78,1508,4219,15111,10898,9941,12218,7651,4897
79,5649,9732,30008,22487,25158,28831,21978,13505
80,1287,4297,9625,8527,8208,7359,5636,3567
81,49952,75853,87528,106290,127119,187662,199613,241629
82,10638,23587,54814,43945,47121,44763,39214,27682
