postalsector,3am,6am,9am,12pm,3pm,6pm,9pm,12am
65,-4.363271324,-4.182466982,-3.716849139,-3.592496157,-12.47849547,-18.09395489,-25.26843806,-16.75369389
66,-0.458214387,0.470245004,1.49866675,0.56750949,-1.218307871,-2.116871098,-0.920789284,-1.07670107
67,-5.589578693,-1.826457948,9.669557989,-0.70855162,-8.10804028,-15.67396556,-13.14866518,-11.14006964
68,-6.90544907,0.01105813,9.015073564,3.956708599,-5.063556796,-13.13564639,-22.98701258,-19.88843053
69,0.568356495,0.246713932,0.404900085,0.54995765,0.193023183,0.536264391,0.541848355,0.523449509
70,0.073360103,-0.009740565,-0.096809612,0.100432914,-0.03620165,0.553628008,0.156805847,-0.210371114
71,0.016312702,-0.073297362,0.065046899,0.228189604,0.36032249,0.125435267,-0.092104025,-0.134124918
72,0.273143646,-0.036985915,0.921793142,0.309219814,2.532813627,5.884650375,0.732926561,0.063901873
73,-8.089531637,5.020171283,12.83334379,0.296561784,-11.0454246,-15.17079713,-36.10702074,-32.19531324
75,-2.800530163,-3.047416633,5.958355554,5.476581862,0.957430122,-1.351679895,-4.757756376,-8.478715061
76,-10.12240801,-7.847680146,16.72346833,4.332402673,-7.470511654,-15.43688239,-34.16119773,-36.2610346
77,-0.71501396,-0.562490197,-0.399143583,0.057533645,-0.878784076,-2.795746149,-1.046130439,-0.665887631
78,-0.669495247,-0.007670107,-4.203046083,-1.620886533,-0.3641497,-1.605671801,-2.667613013,-2.360118581
79,-0.298789096,4.759826834,8.167675754,7.091680522,5.8673495,6.084465288,-0.425510556,-3.488330144
80,-0.805392603,-0.972205666,0.293785488,-1.403394297,-2.214888478,-0.860557769,-2.18827054,-2.565674311
81,5.571462183,10.82656774,-11.05794146,19.70535182,-14.73255011,30.76870471,0.930012235,20.10534241
82,3.117718104,4.036264391,15.72185275,14.60669134,16.91515826,10.26142673,12.78838975,9.451610879
