id,postcode,SUBZONE_C,PLN_AREA_C,REGION_C
3,69407,OTSZ03,OT,CR
3,69406,OTSZ03,OT,CR
3,69261,OTSZ03,OT,CR
3,48423,OTSZ03,OT,CR
3,89849,OTSZ03,OT,CR
3,89750,OTSZ03,OT,CR
3,89752,OTSZ03,OT,CR
3,89843,OTSZ03,OT,CR
3,89841,OTSZ03,OT,CR
3,89835,OTSZ03,OT,CR
3,89759,OTSZ03,OT,CR
3,89829,OTSZ03,OT,CR
3,88879,OTSZ03,OT,CR
3,89823,OTSZ03,OT,CR
3,88330,OTSZ03,OT,CR
3,89852,OTSZ03,OT,CR
3,89854,OTSZ03,OT,CR
3,89850,OTSZ03,OT,CR
3,89848,OTSZ03,OT,CR
3,89846,OTSZ03,OT,CR
3,89844,OTSZ03,OT,CR
3,89842,OTSZ03,OT,CR
3,88324,OTSZ03,OT,CR
3,89840,OTSZ03,OT,CR
3,89838,OTSZ03,OT,CR
3,89836,OTSZ03,OT,CR
3,89830,OTSZ03,OT,CR
3,89828,OTSZ03,OT,CR
3,89826,OTSZ03,OT,CR
3,89816,OTSZ03,OT,CR
3,88861,OTSZ03,OT,CR
3,88859,OTSZ03,OT,CR
3,89765,OTSZ03,OT,CR
3,89766,OTSZ03,OT,CR
3,89767,OTSZ03,OT,CR
3,89120,OTSZ03,OT,CR
3,89118,OTSZ03,OT,CR
3,89138,OTSZ03,OT,CR
3,89142,OTSZ03,OT,CR
3,89769,OTSZ03,OT,CR
3,89121,OTSZ03,OT,CR
3,89119,OTSZ03,OT,CR
3,89123,OTSZ03,OT,CR
3,89158,OTSZ03,OT,CR
3,89131,OTSZ03,OT,CR
3,89261,OTSZ03,OT,CR
3,89262,OTSZ03,OT,CR
3,88266,OTSZ03,OT,CR
3,88267,OTSZ03,OT,CR
3,88265,OTSZ03,OT,CR
3,88383,OTSZ03,OT,CR
3,88264,OTSZ03,OT,CR
3,88390,OTSZ03,OT,CR
3,88263,OTSZ03,OT,CR
3,88387,OTSZ03,OT,CR
3,89684,OTSZ03,OT,CR
3,89266,OTSZ03,OT,CR
3,88850,OTSZ03,OT,CR
3,89000,OTSZ03,OT,CR
3,89267,OTSZ03,OT,CR
3,88999,OTSZ03,OT,CR
3,88848,OTSZ03,OT,CR
3,89691,OTSZ03,OT,CR
3,88992,OTSZ03,OT,CR
3,88991,OTSZ03,OT,CR
3,89168,OTSZ03,OT,CR
3,89611,OTSZ03,OT,CR
3,58972,OTSZ03,OT,CR
3,59810,OTSZ03,OT,CR
3,88816,OTSZ03,OT,CR
3,88817,OTSZ03,OT,CR
3,88814,OTSZ03,OT,CR
3,89482,OTSZ03,OT,CR
3,89483,OTSZ03,OT,CR
3,89484,OTSZ03,OT,CR
3,89486,OTSZ03,OT,CR
3,89487,OTSZ03,OT,CR
3,88813,OTSZ03,OT,CR
3,89492,OTSZ03,OT,CR
3,88812,OTSZ03,OT,CR
3,88811,OTSZ03,OT,CR
3,88810,OTSZ03,OT,CR
3,88519,OTSZ03,OT,CR
3,88517,OTSZ03,OT,CR
3,88809,OTSZ03,OT,CR
3,88808,OTSZ03,OT,CR
3,88807,OTSZ03,OT,CR
3,88451,OTSZ03,OT,CR
3,88453,OTSZ03,OT,CR
3,88455,OTSZ03,OT,CR
3,88457,OTSZ03,OT,CR
3,88459,OTSZ03,OT,CR
3,88461,OTSZ03,OT,CR
3,59236,OTSZ03,OT,CR
3,88806,OTSZ03,OT,CR
3,88805,OTSZ03,OT,CR
3,88492,OTSZ03,OT,CR
3,58475,OTSZ03,OT,CR
3,58479,OTSZ03,OT,CR
3,58581,OTSZ03,OT,CR
3,79007,OTSZ03,OT,CR
3,88458,OTSZ03,OT,CR
3,88454,OTSZ03,OT,CR
3,88452,OTSZ03,OT,CR
3,88462,OTSZ03,OT,CR
3,88463,OTSZ03,OT,CR
3,88446,OTSZ03,OT,CR
3,58468,OTSZ03,OT,CR
3,88442,OTSZ03,OT,CR
